,query_id,query,query_locale,product_id,esci_label,product_title,product_description,product_bullet_point,product_brand,product_color_name,product_locale,example_id,fold
968073,,orcam my eye 2,es,B07RFVT38K,irrelevant,"CZUR ET18-P Escáner de Libros Profesional, Escáner Inteligente de Documentos, Convierta a PDF/PDF con Capacidad de Cúsqueda/Word/Tiff/Excel, 18MP HD Cámara, USB 2.0, Negro","<b>Escáner de Libros Profesional ET18 Pro de CZUR</b></b><br> El ET18 Pro brinda en rendimiento de primer nivel a las organizaciones que deben digitalizar grandes volúmenes y ha sido diseñado para situaciones en las que se debe priorizar la eficiencia y la conveniencia. Utilice una unidad elegante e increíblemente compacta para escanear todos sus documentos: a color, blanco y negro y en escala de grises con velocidades uniformes y calidad impecable. El ET18 Pro, con la tecnología de aplanamiento de curva de láser de 2° generación más avanzada, permite aplanar páginas curvas de manera inigualable con velocidades de escaneo ultrarrápidas (1,5 s/p). También es posible combinar y separar páginas de manera inteligente. <br><br> <b> Specifiche</b></b><br> ●Tipologia di prodotto: ET18 Pro Smart Scanner <br> ● Colore: Nero <br> ● Sensor: CMOS <br> ● Pixel: 18 Megapixels<br> ● Peso: 2.0 KG（Net) <br> ● Risoluzione: 4896*3672<br> ● USB: USB 2.0 High-Speed <br> ● Processore: 32-bit MIPS CPU <br> ● Scanning format: ≤A3, 420 × 297 mm（16.5×11.7 inch) <br> ● Scan speed: Flat single page≈1.5s /page; Books≈1.5s/dual pages <br> ● Export format: JPG/ PDF/ Searchable PDF/ Word/ Excel/ TIFF <br> ● System support: XP, Win 7/ 8/10, 32/64-bit; macOS 10.11 and abov<br><br> <b> Scanning format: </b> <br> ≤A3, 420 × 297 mm（16.5×11.7 inch) <br><br> <b>Scan speed: </b><br> - Flat single page≈1.5s /page; <br> - Books≈1.5s/dual pages <br><br> <b> Export format: </b><br> - JPG/ PDF/ Searchable PDF/ Word/ Excel/ TIFF <br><br> <b> System support: </b><br> - Win XP, Win 7/ 8/10, 32/64-bit <br> - MacOS 10.11 and abov<br><br> <b> Garanzia: 1 Jahr </b><br><br> <b> Confezione </b></b><br> ● 1* ET18 pro Plus Scanner <br> ● 1* Side lights <br> ● 1* USB cable <br> ● 1* Power adapter <br> ● 1* Hand button <br> ● 1* Foot pedal <br> ● 1* Black document pad <br> ● 2* Specialized finger cots <br> ● 1* CD <br> ● 1* User manual <br>","1. TECNOLOGÍA DE APLANAMIENTO DE LA CURVA DE LAS PÁGINAS DE LIBROS PATENTADA: El ET18 Pro emite 3 haces de láser que forman líneas de láser horizontales sobre las páginas curvas. Al calcular los ángulos de las intersecciones de los haces de láser y la plataforma de escaneo es posible obtener una curva espacial en 3D de las líneas de láser. Por último, después de la transformación de los píxeles se aplana la superficie curva en 3D para aplanar la página del libro.
2. CÁMARA SONY DE 18MP, SENCILLA Y RÁPIDA: el ET18 Pro, con cámara Sony de 18MP incorporada y una velocidad de escaneo de 1,5 s/p, escanea un libro de 300 página en 10 minutos, 10 veces más rápido que los escáneres tradicionales. El modo de escaneo automático puede detectar los movimientos de la mano para acelerar la velocidad de escaneo.
3. VERSATILIDAD: admite A3 y A4. Es posible escanear cualquier material con tamaño menor a A3 y convertirlo en PDF/Word/Excel/Tiff/PDF con capacidad de búsqueda.
4. SOFTWARE DE OCR PRECISO Y GRATUITO: la función de OCR avanzada, admite 186 idiomas. El software de CZUR permite recortar, ajustar la nitidez, el contraste, el grosor, etc. después de escanear.
5. ILUMINACIÓN COMPLEMENTARIA: el modelo ET18 Pro cuenta con dos luces adicionales de gran calidad para poder escanear papel satinado (se recomienda apagar la luz del techo y utilizar únicamente luces laterales).",CZUR,Negro,es,136902.0,3
981134,,vemtosas,es,B01IVOIGI4,exact,"Pulox - Juego de vasos para ventosaterapia (2 unidades, tamaño grande), color rosa","<b>-</b> <br> Copas de masaje para un masaje de ventosas profesional. <br> <br> Las ventosas son un tratamiento tradicional, que se ha aplicado desde la antigüedad. Al aspirar la piel se produce un vacío en el vaso que a su vez crea una presión que estimula los puntos de acupuntura de la superficie del cuerpo. Un masaje de ventosa puede ayudar a estimular la circulación sanguínea y el metabolismo, dispersar una retención sanguínea, prevenir la celulitis, así como estirar el tejido conjuntivo. Los vasos están fabricados en cristal, por lo que se pueden limpiar y desinfectar fácilmente. <br> <br> - Vasos para ventosaterapia con bolas de succión. <br> - Para ventosaterapia profesional y sin fuego. <br> - Bordes amplios y reforzados. <br> - Gran capacidad de absorción. <br> - Bajo peso. <br> - Fáciles de usar. <br> - Se deslizan fácilmente sobre la piel. <br> - Material: cristal. <br>Consejo para el masaje de ventosas:<br> - Antes del masaje, ponte algo de aceite corporal o aceite para masajes sobre la zona que se vaya a masajear o succionar. Así resulta más fácil y cómodo deslizar las ventosas sobre la piel. Muchos aceites tienen un efecto calor que vuelve el masaje de ventosas muy agradable y propaga una sensación de bienestar por todo el cuerpo.<br> - Mueve las ventosas sobre la piel, agarrando el cristal desde arriba con cuidado y suavidad. Gracias al aceite puedes retirar las ventosas con facilidad y moverlas sobre la piel sin mucho esfuerzo. No ejerzas demasiada presión sobre los vasos, ya que de lo contrario podrían romperse. No tires de la bola de succión, ya que podría perderse la presión o soltarse del cristal.<br> - Cuidado con el cristal: El cristal siempre es frágil. Por favor, no tires los vasos, no dejes que se caigan y no los arrojes contra otros objetos o paredes.","Ventosa de vidrio con bola de succión extraíble.
Para ventosaterapia profesional sin fuego y masajes de ventosas.
De cristal auténtico. Tamaños: 52 mm, 62 mm. Color de la bola de succión: azul, marrón, verde o rosa.
Consejo: pon algo de aceite corporal o aceite para masajes sobre la piel antes del masaje de ventosas y mueve las ventosas sobre la piel, agarrando el cristal desde arriba con cuidado y suavidad.
Los vasos para ventosaterapia se deslizan mejor sobre el aceite, el masaje es muy agradable y propaga una sensación de bienestar por todo el cuerpo.",Pulox,Rosa,es,145243.0,5
302607,11628.0,thor costume adult men,us,B079HTWVWQ,substitute,"Rubie's Men's Marvel Avengers: Infinity War Deluxe Iron Man Adult Sized Costumes, As Shown, Extra-Large US",,"OFFICIALLY LICENSED Avengers: Avengers Infinity War costume, look for Marvel, Disney, and Rubie's logo/trademark on packaging to help assure you've received authentic safety-tested items
DELUXE IRON MAN padded costume jumpsuit with attached shoe-covers; half-mask included
IMPORTANT: Costumes are sized differently than apparel, use the Rubie's adult male size chart, do not choose based on clothing size
GROUPS / FAMILES: combine with Iron Man, Iron Spider-Man, Hulk, Teen Groot, Thor and other Marvel costumes and accessories in sizes for everyone
Family-owned, family-focused, and based in the U.S.A. since 1950, Rubie's has classic and Officially Licensed costumes and accessories in sizes and styles for your entire family",Rubie's,As Shown,us,,3
72508,12749.0,witchy bed spread,us,B07MNHYNCF,substitute,Duvet Cover Queen - Black Marble Bedding 3 Piece Set - Comforter Cover Set with Zipper Closure - Ultra Soft Microfiber - 90×90 Inches,"<b>🛏️ Feature</b> <ol> <li>Inject black mysterious charm to your bedroom with the marble designs bedding sets</li> <li>Machine wash in cold water with similar colors. Tumble dry low. Do not bleach.</li> <li>Spring Meow duvet cover set is made with ultra-Soft Double Brushed microfiber fabric, these ultra-plush sheets are woven with the finest craftsmanship</li> </ol> <br> <b>🏆 honor & release</b> <li>Since 2021 March, over 50 times <b>Amazon's Choice</b> for ""duvet cover queen black""</li> <li>Since 2021 January, we upgrade the marble duvet cover three times based on nearly 1,000 customer's feedback.</li> <br> <b>📦 Package Includes : 1 duvet cover and 2 pillow shams</b><br> ✔️ King duvet cover 104''x 90'' , pillow sham 20'' x 40'' <br> ✔️ Queen duvet cover 90''x 90'' , pillow sham 20'' x 30'' <br> <br> <b>😊 Idea Behind Spring Meow </b> <ul> <li>💡 Home is Where My Cat is</li> <li>💡 Better Sleep for a Better Life</li> </ul> <br> <b>📞 follow up service</b><br> If there is any issue of the product, there are 3 ways below: <li>contact us by Amazon message </li> <li>contact Amazon customer service</li>","🌜 [MARBLE STYLE]: Inject black mysterious charm to your bedroom. Dog hair and Pet hair resistant bedding.
🌜[PREMIUM QUALITY FABRIC]: Use durable and ultra-soft fabric. Dog hair and Pet hair resistant bedding.
🌜[QUEEN DUVET COVER SET]: 3-piece set includes : 1 duvet cover (Queen 90''x90'') and 2 pillowcases (Queen 20''x30'').
🌜[EASY CARE & CLEANING]: The duvet cover set need machine wash in cold water with similar colors. Tumble dry low. Do not bleach the comforter covers. Fade, stain, shrink and wrinkle resistant.
🌜[SPRING MEOW]: We provide above and beyond customer service when you run into an issue. Thank you for shopping with our duvet cover full/queen.",Spring Meow,Black,us,,2
93368,10618.0,small portable iphone battery,us,B07CZDXDG8,substitute,"INIU Portable Charger, USB C Slimmest & Lightest Triple 3A High-Speed 10000mAh Power Bank, Flashlight Battery Pack Compatible with iPhone 13 Pro 12 11 X 8 Samsung S20 Google LG iPad etc [2022 Version]",,"✅【From INIU--the SAFE Fast Charge Pro】Experience the safest charging with over 38 million global users. At INIU, we use only the highest-grade materials, so we do have the confidence to provide an industry-leading 3 years warranty.
✅【High-efficiency USB C】Equipped with the latest worldwide USB C charging standard, working as both input and output to not only let you fast refuel the charger, but perfectly fit your newest iPhone, Android, and all upcoming USB C devices.
✅【Triple 3A High-speed Charging】Outpace your mates and charge 1.4x faster through our exclusive UPower+ technology. After intelligently identifying your devices, it auto-adjusts the output up to 3A.
✅【Ultra Slim 10000mAh】The thinnest 10000mAh power bank on the market, easily slips it into any of your pockets or bags. Enjoy the days’ worth of charging capacity, enough to top up iPhone 8 3.6 times, Samsung S8 2.3 times, or iPad Air once.
✅【Even Wider Compatibility】Unlike the market’s most power banks incapable of charging low-current accessories, INIU portable charger can work with not only all the phones, tablets but your smaller devices like AirPods, Bluetooth headphones, fitness trackers, smart watches, etc.",INIU,Black,us,,2
1645300,,plumas estilograficas,us,B07H255RBF,exact,Fountain Pen Writing Set Case Handcrafted Bamboo Vintage Collection with Ink Refill Converter Gold Medium Nib Business Antique Gift Pen,,,LUXUN,Bamboo,us,1341707.0,2
2239699,,omni printer tshirt machine,us,B07K31PBGH,substitute,"WEANAS Heat Press Machine, 12"" X 15"" Heat Transfer Machine with Professional Swing Arm, Digital Sublimation 5 in 1 for T-Shirt, Mug, Hat, Plate, Cap","<b>Weanas 5 in 1 Heat Press Machine, 12 X 15 inch Professional Digital Transfer Sublimation</b><br> with its industrial strength and durability allows for long-term use<br><br><b>Specifications: </b><br> Timer Control:0-999 seconds<br> Power: 900W<br> Voltage: 110V<br> Temperature range:0 - 480oF (0 - 250oC)<br> Heating board size:12"" X 15""<br> Heating plate (small):5""<br> Heating plate (large):6""<br> Heating cup size:11oz. mug (3"" - 3.5"" diameter)<br> Heating hat size: 6"" X 3""<br> 2 4/5"" Long arm handle<br> 4/5"" thick heating board <br><br><b>Total Five Heating Elements:</b><br> Platen Press (teflon coated) 12"" x 15""<br> Hat/Cap Press 6""x 3""(curved)<br> Mug Press #1 11oz","Safety and DURABILITY: The 360° rotating heat press prevents accidents and burns, and the commercial-grade steel frame is durable and ensures that no problems occur when intense heat is drawn from the heat press. In addition, the overheat protection function also ensures safe and stable use
PERFECTLY PRINTED: Heat Transfer Machine’s Teflon-coated plate reduces incidents of damages and also promotes easy and even transfer of heat, additionally, a silicone pad and pressure adjustment knob to ensure adjust the pressure in tiny increments to suit thickness levels of almost any material
EASY TO USE: Each heat press machine for t shirt hat cup and plate, comes with one digital control box with LCD screen to keep you informed of time remaining, temperature settings, which can control the machine heats up quickly, between five and ten minutes from 0℉ to 500℉ and a robust timer can be set for anything from 0 to 999 seconds. Unique pressure setting is easy to adjust and save effort
5 IN 1 MULTIFUNCTION: The combo heat press machine 5 in 1 comes with 1 x Teflon-coated platen (12”x15”), 1 x cap press (6"" x 3"", Curved), 1 x mug press (3""-3.5"" Diameter 11OZ), 2 x Plate Presses (5"" and 6"" Diameter) make it highly versatile, and a great option for variety, regardless of the level of work involved, from smaller hobby projects to larger commercial endeavors
EXQUISITE DETAILS: The unique design not only facilitates the disassembly and assembly of the heat press, but takes into account the safe, beautiful, comfortable feel, stable, efficient and portable, supports 900W, 110V",WEANAS,Blue and Black,us,1351983.0,2
738067,31577.0,腰ポーチ,jp,B01LX5JHV1,exact,OneTigris リュックアクセサリーポーチ スマホ･小物入れ お財布ポーチ molle ミリタリー風 (ブラック),,"機能的、小物入れ収納ポーチ、5.5インチ以内のスマホやペンやお財布や鍵やカードなどどんどん入れられ、コンパクトです。
1000Dナイロン、頑丈で軽量、作りがしっかりしていて、長く愛用できます。
モールシステム対応、ザックやウェストベルトやチェストリグなどに取り付け可能、お手持もよく、持ち運びには超便利！
ミリタリー系お色使い、見た目はかっこよく、汚れにも優れています。
サイズ: 9.5 x 5.5 x 16 cm（5.5インチ以内スマホ対応)",ONETIGRIS,ブラック,jp,,5
888955,,mesa blanca,es,B0074HYWFG,exact,LIFETIME 80251 - Mesa plegable multiusos ultrarresistente 66x46x61/66/71 cm UV100,,"Mesa plegable multiusos regulable en 3 alturas: 61/66/71 cm, medidas tablero 66x46 cm, medidas mesa plegada: 46x103x5 cm, peso máximo soportado: 45 kg
Tablero de polietileno de alta densidad (48 mm) con protección UV y estructura de acero con tubos de 19 mm de grosor y topes de goma antideslizantes
Funcional, práctica y resistente, el peso de la mesa (3,9 Kg) la hace muy ligera, manejable y fácil de guardar, anclajes de seguridad para una fijación óptima
El tamaño de la mesa es adecuado para 1 persona, adecuado como mesa auxiliar para el portátil, ganar espacio en la cocina o comer o cenar dentro y fuera de casa
Versatilidad, durabilidad y diseño con LIFETIME, la marca especializada en mobiliario ultrarresistente que se adapta a tu vida en exterior e interior",LIFETIME,Blanco,es,65166.0,2
625341,31942.0,tfal フライパン 取っ手なし,jp,B01K3TOCKG,exact,ティファール フライパン 26cm ガス火専用 「 インジニオ・ネオ グランブルー・プレミア フライパン 」 チタン プレミア 5層コーティング L61405 取っ手のとれる T-fal 【IH非対応】,,"サイズ:幅27.7×奥行27.7×高さ5.8cm、深さ/5.5、内径/26cm
素材・材質:本体・底/アルミニウム
生産国:フランス
機能:温度が目で見て分かる「お知らせマーク」
対応熱源:ガス、電気プレートコイル、セラミックヒーター、ハロゲンヒーター",ティファール(T-fal),グランブルー,jp,,1
2041652,,rugged flex rigby 5-pocket work pant,us,B06Y5DPMY6,substitute,"Dickies Men's Flex 5-Pocket Pant Slim Taper Fit, Rinsed Black, 34 30",,"Flex fabric for ease of movement and comfort, designed to move
Stretches comfortably and retains shape
Signature deco stitch
Reinforcement throughout the pant
Sits below waist, slim fitting through seat and thigh, leg tapers to a 14.5 inch opening",Dickies,Rinsed Black,us,1072532.0,2
564834,24893.0,cable negativo bateria,es,B08LPD6LWQ,complement,ZHITING 2pcs Terminales de Batería Abrazaderas de Batería de Liberación Rápida Positivo y Negativo Battery Terminal para Barco Coche,"<br><br><b>Especificaciones del producto:</b> <br>- Material: Cobre puro galvanizado + plástico <br>- Potencia de salida: 6V 12 V <br>- Color: rojo / negro <br>- Diámetro positivo: 18 mm / 0,71 pulgadas <br>- Diámetro negativo: 16 mm / 0,63 pulgadas <br>- Modelos aplicables: vehículos <br>- Peso: 85 g / par <br><br><b>El paquete incluye:</b> <br>1 par Terminales de la batería <br><br><b>Caracteristicas :</b> <br>❀ El terminal de la batería con una cubierta de plástico está hecho de cobre de calidad y tiene una superficie galvanizada, que es resistente al óxido y duradera. <br>❀ Conectores de poste superior estándar positivo y negativo para mayor resistencia y menor corrosión. <br>❀ Universal para la mayoría de los vehículos, automóviles, SUV, camiones, camionetas, botes, yates, baterías de motocicletas.","Material: los terminales de la batería están hechos de cobre puro galvanizado, protegen del óxido y son resistentes a la corrosión de forma duradera para un uso seguro, buena conductividad y una vida útil más larga.
Fácil de instalar: Cada uno con tuerca M8, ajuste directo y sin modificaciones, 2 colores de terminales de batería para distinguir los conectores positivo y negativo, Negro (-), Rojo (+).
Tamaño perfecto: diámetro del orificio del terminal positivo de la batería: 18 mm / 0,71 pulgadas. Diámetro del orificio del terminal negativo de la batería: 16 mm / 0,63 pulgadas. Ligero y cómodo de llevar.
Características: Se utiliza para extensión de batería, conexión en paralelo y conexión a tierra. Se adapta a baterías positivas o negativas de 6 V / 12 V. Fácil de modificar el cableado.
Amplia aplicación: compatible con baterías de automóviles, vehículos, vehículos recreativos, botes y otros vehículos que tienen una batería de poste superior estándar. También puede obsequiarlos a su familia o amigos.",ZHITING,,es,,3
2305131,,issey miyake wood and wood,us,B00IJTWD3Q,substitute,L'eau D'issey by Issey Miyake for Men - Eau De Toilette Spray 2.5 Oz (Pack of 2),,"Introduced in 1994. Fragrance notes: citrus and spice combined with lower notes of musk, amber and woods. Recommended use: evening.WhenÂ applyingÂ any fragrance please consider that there are several factors which can affect the natural smell of your skin",Issey Miyake,,us,1443493.0,3
